Epoch,Train Loss,Val Loss,Train AUROC,Val AUROC,Val F1
1,0.8084,0.4731,0.8308,0.9443,0.855
2,0.7593,0.4219,0.852,0.9529,0.8813
3,0.7284,0.3676,0.8651,0.9558,0.9169
4,0.7095,0.357,0.8731,0.9614,0.9194
5,0.5004,0.4327,0.8775,0.9377,0.8987
6,0.49,0.4964,0.8829,0.9614,0.8304
7,0.4846,0.3429,0.8851,0.9639,0.9206
8,0.4794,0.57,0.8877,0.9499,0.7848
9,0.4681,0.4497,0.8923,0.9575,0.8669
10,0.4667,0.4882,0.8916,0.956,0.85
11,0.464,0.3823,0.8938,0.9669,0.899
12,0.4538,0.3243,0.8998,0.9662,0.9292
13,0.4519,0.3441,0.9003,0.9695,0.916
14,0.4468,0.3604,0.9016,0.9685,0.9044
15,0.4433,0.3364,0.902,0.9705,0.9233
16,0.4345,0.334,0.9052,0.97,0.9174
17,0.4342,0.3507,0.9042,0.9691,0.9125
18,0.4306,0.3334,0.9084,0.9715,0.9182
19,0.433,0.3308,0.9081,0.9713,0.9175
20,0.436,0.3228,0.9031,0.9714,0.9246
